animation,phase,folder_path,image_file,width,height,has_alpha,too_small,mode
AI Animation Studio,color,E:\dataScience\Fiver orders\Order 15\2887 Frames\AI Animation Studio\Colors,AIAnimationStudio_Colors_001.png,1080,1920,True,False,RGBA
AI Animation Studio,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\AI Animation Studio\Roughs,AIAnimationStudio_Roughs_001.png,1080,1920,True,False,RGBA
AI Animation Studio,tiedown,E:\dataScience\Fiver orders\Order 15\2887 Frames\AI Animation Studio\Tie Downs,AIAnimationStudio_Tie Downs_001.png,1080,1920,True,False,RGBA
Bouncing Ball 1,color,E:\dataScience\Fiver orders\Order 15\2887 Frames\Bouncing Ball 1\Colors,BouncingBall_Colors_0001.png,1920,1080,True,False,RGB
Bouncing Ball 1,line,E:\dataScience\Fiver orders\Order 15\2887 Frames\Bouncing Ball 1\Lines,BouncingBall_Lines_0001.png,1920,1080,True,False,RGB
Bouncing Ball 1,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\Bouncing Ball 1\Roughs,BouncingBall_Roughs_0001.png,1920,1080,True,False,RGB
James Baxter,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\James Baxter\Roughs,James Baxter_Roughs_001.png,1452,1080,True,False,RGB
James Baxter,tiedown,E:\dataScience\Fiver orders\Order 15\2887 Frames\James Baxter\Tie Downs,James Baxter_Tie Downs_001.png,1452,1080,True,False,RGBA
Justin R Hamrick,color,E:\dataScience\Fiver orders\Order 15\2887 Frames\Justin R Hamrick\Colors,Justin R Hamrick_Colors_001.png,1706,1920,True,False,RGBA
Justin R Hamrick,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\Justin R Hamrick\Roughs,Justin R Hamrick_Roughs_001.png,1706,1920,True,False,RGBA
Ken Duncan,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\Ken Duncan\Roughs,Ken Duncan - Tarzan - Roughs_001.png,640,348,True,False,RGBA
Ken Duncan,tiedown,E:\dataScience\Fiver orders\Order 15\2887 Frames\Ken Duncan\Tie Downs,Ken Duncan - Tarzan - Tie Downs_001.png,640,348,True,False,RGBA
Matty Jorissen,color,E:\dataScience\Fiver orders\Order 15\2887 Frames\Matty Jorissen\Colors,Matty Jorissen_Colors_001.png,640,360,True,False,RGBA
Matty Jorissen,tiedown,E:\dataScience\Fiver orders\Order 15\2887 Frames\Matty Jorissen\Tie Downs,Matty Jorissen_Tie Downs_001.png,640,360,True,False,RGBA
Naked Girl Kicking,color,E:\dataScience\Fiver orders\Order 15\2887 Frames\Naked Girl Kicking\Colors,NakedGirlKicking_Colors_0001.png,1920,1080,True,False,RGB
Naked Girl Kicking,line,E:\dataScience\Fiver orders\Order 15\2887 Frames\Naked Girl Kicking\Lines,NakedGirlKicking_Lines_0001.png,1920,1080,True,False,RGB
Naked Girl Kicking,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\Naked Girl Kicking\Roughs,NakedGirlKicking_Roughs_0001.png,1920,1080,True,False,RGB
Toniko Pantoja,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\Toniko Pantoja\Roughs,Toniko Pantoja_Roughs_001.png,720,285,True,False,RGBA
Toniko Pantoja,tiedown,E:\dataScience\Fiver orders\Order 15\2887 Frames\Toniko Pantoja\Tie Downs,Toniko Pantoja_Tie Downs_001.png,720,285,True,False,RGBA
Toothpaste,color,E:\dataScience\Fiver orders\Order 15\2887 Frames\Toothpaste\Colors,Toothbrush_Colors_0001.png,1920,1080,True,False,RGB
Toothpaste,line,E:\dataScience\Fiver orders\Order 15\2887 Frames\Toothpaste\Clean Lines,Toothbrush_Clean Lines_0001.png,1920,1080,True,False,RGB
Toothpaste,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\Toothpaste\Roughs,Toothbrush_Roughs_0001.png,1920,1080,True,False,RGB
Toothpaste,tiedown,E:\dataScience\Fiver orders\Order 15\2887 Frames\Toothpaste\Tie Downs,Toothbrush_Tie Downs_0001.png,1920,1080,True,False,RGB
