animation,phase,folder_path,num_frames
AI Animation Studio,color,E:\dataScience\Fiver orders\Order 15\2887 Frames\AI Animation Studio\Colors,183
AI Animation Studio,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\AI Animation Studio\Roughs,183
AI Animation Studio,tiedown,E:\dataScience\Fiver orders\Order 15\2887 Frames\AI Animation Studio\Tie Downs,183
Bouncing Ball 1,color,E:\dataScience\Fiver orders\Order 15\2887 Frames\Bouncing Ball 1\Colors,61
Bouncing Ball 1,line,E:\dataScience\Fiver orders\Order 15\2887 Frames\Bouncing Ball 1\Lines,61
Bouncing Ball 1,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\Bouncing Ball 1\Roughs,61
James Baxter,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\James Baxter\Roughs,180
James Baxter,tiedown,E:\dataScience\Fiver orders\Order 15\2887 Frames\James Baxter\Tie Downs,180
Justin R Hamrick,color,E:\dataScience\Fiver orders\Order 15\2887 Frames\Justin R Hamrick\Colors,69
Justin R Hamrick,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\Justin R Hamrick\Roughs,69
Ken Duncan,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\Ken Duncan\Roughs,226
Ken Duncan,tiedown,E:\dataScience\Fiver orders\Order 15\2887 Frames\Ken Duncan\Tie Downs,226
Matty Jorissen,color,E:\dataScience\Fiver orders\Order 15\2887 Frames\Matty Jorissen\Colors,437
Matty Jorissen,tiedown,E:\dataScience\Fiver orders\Order 15\2887 Frames\Matty Jorissen\Tie Downs,437
Naked Girl Kicking,color,E:\dataScience\Fiver orders\Order 15\2887 Frames\Naked Girl Kicking\Colors,26
Naked Girl Kicking,line,E:\dataScience\Fiver orders\Order 15\2887 Frames\Naked Girl Kicking\Lines,26
Naked Girl Kicking,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\Naked Girl Kicking\Roughs,26
Toniko Pantoja,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\Toniko Pantoja\Roughs,1493
Toniko Pantoja,tiedown,E:\dataScience\Fiver orders\Order 15\2887 Frames\Toniko Pantoja\Tie Downs,1493
Toothpaste,color,E:\dataScience\Fiver orders\Order 15\2887 Frames\Toothpaste\Colors,286
Toothpaste,line,E:\dataScience\Fiver orders\Order 15\2887 Frames\Toothpaste\Clean Lines,286
Toothpaste,rough,E:\dataScience\Fiver orders\Order 15\2887 Frames\Toothpaste\Roughs,286
Toothpaste,tiedown,E:\dataScience\Fiver orders\Order 15\2887 Frames\Toothpaste\Tie Downs,286
