animation_id,input_phase,target_phase,input_path,target_path
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_001.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_001.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_002.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_002.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_003.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_003.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_004.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_004.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_005.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_005.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_006.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_006.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_007.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_007.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_008.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_008.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_009.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_009.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_010.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_010.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_011.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_011.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_012.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_012.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_013.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_013.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_014.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_014.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_015.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_015.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_016.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_016.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_017.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_017.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_018.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_018.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_019.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_019.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_020.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_020.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_021.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_021.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_022.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_022.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_023.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_023.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_024.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_024.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_025.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_025.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_026.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_026.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_027.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_027.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_028.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_028.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_029.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_029.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_030.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_030.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_031.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_031.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_032.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_032.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_033.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_033.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_034.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_034.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_035.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_035.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_036.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_036.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_037.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_037.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_038.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_038.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_039.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_039.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_040.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_040.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_041.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_041.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_042.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_042.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_043.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_043.png
AI Animation Studio,rough,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\rough\AIAnimationStudio_Roughs_044.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\AI Animation Studio\color\AIAnimationStudio_Colors_044.png
